x,y,type
7.961,48.075,left
13.001,51.950,left
20.709,53.593,left
27.428,52.537,left
32.961,48.779,left
38.693,47.018,left
45.807,49.366,left
52.329,52.772,left
58.060,51.128,left
63.199,46.548,left
68.732,41.030,left
73.080,36.803,left
78.218,31.636,left
80.985,23.182,left
79.602,15.668,left
75.452,9.210,left
69.918,4.983,left
62.211,4.278,left
55.689,8.153,left
50.649,12.615,left
46.104,17.077,left
41.855,23.300,left
36.914,28.466,left
30.788,31.167,left
24.562,26.822,left
20.116,22.361,left
15.768,18.486,left
8.060,18.955,left
4.701,26.353,left
3.515,33.280,left
4.898,41.030,left
8.357,47.723,left
14.384,42.087,right
21.993,44.435,right
28.120,41.969,right
34.839,40.091,right
41.460,40.912,right
47.981,43.613,right
54.799,44.083,right
59.641,39.856,right
64.187,35.511,right
68.238,31.402,right
71.301,25.883,right
72.685,20.130,right
70.511,13.789,right
64.286,12.967,right
57.467,16.959,right
52.428,22.243,right
47.487,28.231,right
41.756,33.045,right
35.037,37.038,right
27.626,37.273,right
22.882,33.633,right
18.139,29.758,right
11.519,29.523,right
11.618,37.155,right
14.483,41.734,right
